county,decade,elect_infrastructure,pct_elect,HDI,housing_value,area
28,6,0,,,,22971
28,7,.22093023,.012790147,.24000001,4.5047822,22873
28,8,.22093023,.082866043,.28400001,3.1922829,22873
28,9,.22093023,.18400009,.44870013,1.9286268,22614.400390625
28,10,.22093023,.52287591,.49503243,3.7674475,22518.30078125
29,6,0,,,,374098
29,7,0,.43019679,.46201265,15.204521,367284
29,8,0,.72296607,.65466201,20.400196,367284
29,9,0,.87846756,.70910364,16.0243,361329
29,10,0,.92147785,.74691516,16.812752,359750.90625
30,6,0,,,,48914
30,7,0,.068483479,.33554208,5.9721975,45946
30,8,0,.22338182,.47196147,5.6989865,45946
30,9,0,.42627612,.61602688,4.9820223,51431.1015625
30,10,0,.62961799,.66785461,6.16746,51207
31,6,0,,,,72228
31,7,.11320755,.10399493,.31435344,6.3745308,71898
31,8,.11320755,.26760256,.43006608,5.3219109,71898
31,9,.11320755,.58786881,.56724393,5.0476818,55508.30078125
31,10,.11320755,.75235254,.6082229,6.9046879,55264.6015625
32,6,0,,,,35931
32,7,0,.13834952,.37200001,6.8074622,35367
32,8,0,.38283351,.48699999,8.5961838,35367
32,9,0,.71125615,.61453068,7.9816093,40038.6015625
32,10,0,.82631975,.65320671,9.8042135,39862.80078125
33,6,0,,,,230104
33,7,0,.28805584,.43529579,14.349646,230104
33,8,0,.57106847,.65932173,16.046778,230104
33,9,0,.7775048,.70425367,12.532906,225116.09375
33,10,0,.86951715,.73899043,16.33724,224118.09375
34,6,0,,,,1080
34,7,0,.10885392,.36399999,8.400732,1090
34,8,0,.31810609,.50599998,9.6376934,1090
34,9,1,.57968843,.61900002,7.1354847,1613.900024414063
34,10,1,.71790898,.70600003,9.2880535,1606.800048828125
35,6,0,,,,5558
35,7,0,.043914247,.292,5.3366499,5438
35,8,0,.11667489,.48499998,6.8667154,5438
35,9,0,.25503635,.51099998,2.7496455,8410.2998046875
35,10,0,.4416604,.61200005,4.990521,8372.7998046875
36,6,0,,,,67058
36,7,0,.11251504,.37399998,9.2222404,67870
36,8,0,.48342729,.68400002,23.929487,67870
36,9,0,.72463316,.662,13.516385,73287.796875
36,10,0,.79918855,.745,14.197112,72961.3984375
37,6,0,,,,7240
37,7,0,.040777918,.23500001,4.6707292,6672
37,8,0,.15295815,.41700003,4.8634849,6672
37,9,0,.20414472,.47400001,2.729198,7022.2001953125
37,10,0,.42257145,.59499997,5.0424542,6990.89990234375
38,6,0,,,,4362
38,7,0,.057189543,.34,5.6602297,4428
38,8,0,.17505392,.465,5.0240989,4428
38,9,0,.42056814,.58899999,3.5803559,3202.300048828125
38,10,0,.57368571,.67700005,6.4426084,3188.199951171875
39,6,0,,,,902
39,7,0,.044629898,.36300001,5.5441389,895
39,8,0,.19154596,.472,6.538085,895
39,9,1,.69230914,.69499999,10.494648,1316.199951171875
39,10,1,.82070702,.76800001,11.137658,1310.300048828125
40,6,0,,,,718
40,7,0,.77622259,.54699999,26.347235,736
40,8,0,.9179014,.74900001,27.673693,736
40,9,1,.99092108,.76699996,28.945354,1089.099975585938
40,10,1,.99323922,.80599999,33.59943,1065.300048828125
41,6,0,,,,9326
41,7,0,.063448273,.29800001,4.9806547,9763
41,8,0,.19920617,.43400002,5.3082213,9763
41,9,0,.351468,.53400004,4.2898803,9600.2998046875
41,10,0,.65588713,.63,6.2379894,9557.599609375
42,6,0,,,,2561
42,7,0,.16293156,.324,5.4212666,2407
42,8,0,.16849016,.41,5.5745487,2407
42,9,.33333334,.28975865,.60100001,4.1593499,3116
42,10,.33333334,.51982546,.68000001,4.8083858,3102.10009765625
43,6,0,,,,1018
43,7,0,.18685068,.41299999,10.471123,1003
43,8,0,.54311222,.61399996,13.998516,1003
43,9,.66666669,.88619763,.67299998,10.888291,1029.400024414063
43,10,.66666669,.95330077,.74599999,14.231396,1024.800048828125
44,6,0,,,,3655
44,7,0,.020886077,.29299998,5.5033865,3358
44,8,0,.10851581,.38,3.6372638,3358
44,9,0,.16307025,.51699996,2.9034898,3620.199951171875
44,10,0,.46021089,.59600002,4.6023555,3604.10009765625
45,6,0,,,,9201
45,7,0,.034862384,.28,4.8764772,9309
45,8,0,.096316196,.456,4.8664393,9309
45,9,0,.22127159,.50600004,2.950114,8578.2001953125
45,10,0,.47688946,.63099998,5.3532906,8540
46,6,0,,,,1501
46,7,0,.058227848,.347,6.1114554,1540
46,8,0,.23776104,.48700002,6.7871122,1540
46,9,.5714286,.43826669,.588,4.5022349,2009.699951171875
46,10,.5714286,.58904439,.66899997,6.9725804,2000.699951171875
47,6,0,,,,608
47,7,0,.069403715,.403,9.3909693,832
47,8,0,.092468306,.447,4.3536057,832
47,9,.5,.30826169,.60499996,3.6837165,473.2000122070313
47,10,.5,.5310871,.67799997,6.315824,471.1000061035156
48,6,0,,,,785
48,7,0,.076867819,.382,5.8321629,967
48,8,0,.13053505,.51499999,6.1815948,967
48,9,0,.40560067,.63099998,6.4723177,860.4000244140625
48,10,0,.64937633,.70200002,8.2279463,856.5999755859375
49,6,0,,,,27701
49,7,0,.10222923,.35699999,6.9259849,26762
49,8,0,.18765509,.47799999,5.7643929,26762
49,9,0,.39898285,.60299999,4.4362807,20232.5
49,10,0,.51184094,.69,6.3594637,19977
50,6,0,,,,3330
50,7,0,.087517276,.368,6.28935,3330
50,8,0,.169103,.46799999,4.957931,3330
50,9,.26666668,.2692115,.58399999,2.805954,3782.39990234375
50,10,.26666668,.46676317,.653,5.4036121,3765.5
51,6,0,,,,28348
51,7,0,.094412334,.36500001,6.7938056,28704
51,8,0,.2716763,.47099999,7.6158214,28704
51,9,0,.50035048,.616,5.2648335,26825.5
51,10,0,.63380921,.68099999,6.4790254,26706
52,6,0,,,,479
52,7,0,.10483871,.33499998,6.4995108,537
52,8,0,.13383839,.49099997,5.93854,537
52,9,1,.52022237,.63200003,4.7132463,476.1000061035156
52,10,1,.83260107,.69,7.8766804,474
53,6,0,,,,1192
53,7,0,.067151651,.35800001,5.1321278,1329
53,8,0,.11651421,.49000001,4.9338574,1329
53,9,0,.32885656,.597,3.8335128,1576.400024414063
53,10,0,.51734269,.66600001,4.8261023,1569.400024414063
54,6,0,,,,5558
54,7,0,.084880635,.40900001,7.9461312,5828
54,8,0,.15361238,.509,7.4658079,5828
54,9,0,.47271255,.59400004,5.802588,5179.2001953125
54,10,0,.74976647,.676,9.366127,5156.2998046875
55,6,0,,,,10026
55,7,0,.025986299,.28100002,4.3112745,8542
55,8,0,.052269172,.38699999,4.0881844,8542
55,9,.1388889,.23805571,.57883888,4.5651584,8839.099609375
55,10,.1388889,.53083831,.65785986,6.7498088,8799.900390625
56,6,0,,,,22808
56,7,0,.086747877,.34999999,7.095819,22692
56,8,0,.20634505,.43799999,6.3057947,22692
56,9,0,.41405448,.59400004,4.5128651,25976.900390625
56,10,0,.59723014,.67209584,5.9281063,25861.19921875
57,6,0,,,,520940
57,7,.00047778309,.059831977,.32870793,6.4833226,524801
57,8,.00095556618,.21867791,.47578037,7.6475124,524801
57,9,.048733875,.47301599,.57803285,5.3705306,537473.625
57,10,.062111802,.66710746,.66413039,7.9880877,535144.6875
58,6,0,,,,1611
58,7,0,.047398433,.32800001,4.8976622,1810
