mig_away,full_titled,procede_year,year,hh_numid,ejido_numid,entidad,hh_ag,males_17to30_1997,female_head_1997,age_head,value_ag,ejidatario,suptotalnu,supparcela,posesionar,avecindado,latitude,longitude,nearcity_km,iml7954r,outsiders,parcel_ratio
0,0,2005,1998,24954,207,30,0.0,1.0,0.0,67.0,3.647807769775391,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1999,24954,207,30,0.0,1.0,0.0,68.0,3.4775811767578126,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,2000,24954,207,30,1.0,1.0,0.0,69.0,3.639163589477539,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1997,24955,207,30,1.0,0.0,0.0,37.0,3.933009834289551,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1998,24955,207,30,0.0,0.0,0.0,38.0,3.647807769775391,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1999,24955,207,30,1.0,0.0,0.0,40.0,3.4775811767578126,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,2000,24955,207,30,1.0,0.0,0.0,40.0,3.639163589477539,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1997,24956,207,30,0.0,1.0,0.0,27.0,3.933009834289551,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1998,24956,207,30,0.0,1.0,0.0,28.0,3.647807769775391,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1999,24956,207,30,0.0,1.0,0.0,29.0,3.4775811767578126,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1997,24957,207,30,0.0,1.0,0.0,55.0,3.933009834289551,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1998,24957,207,30,1.0,1.0,0.0,56.0,3.647807769775391,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1999,24957,207,30,1.0,1.0,0.0,56.0,3.4775811767578126,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,2000,24957,207,30,1.0,1.0,0.0,59.0,3.639163589477539,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1997,24958,207,30,1.0,0.0,0.0,32.0,3.933009834289551,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1998,24958,207,30,0.0,0.0,0.0,32.0,3.647807769775391,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1999,24958,207,30,0.0,0.0,0.0,34.0,3.4775811767578126,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,2000,24958,207,30,1.0,0.0,0.0,35.0,3.639163589477539,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1997,24959,207,30,1.0,1.0,0.0,29.0,3.933009834289551,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1998,24959,207,30,1.0,1.0,0.0,31.0,3.647807769775391,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1999,24959,207,30,0.0,1.0,0.0,32.0,3.4775811767578126,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,2000,24959,207,30,1.0,1.0,0.0,33.0,3.639163589477539,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1997,24960,207,30,1.0,0.0,0.0,57.0,3.933009834289551,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1998,24960,207,30,1.0,0.0,0.0,57.0,3.647807769775391,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1999,24960,207,30,1.0,0.0,0.0,58.0,3.4775811767578126,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,2000,24960,207,30,1.0,0.0,0.0,60.0,3.639163589477539,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1997,24961,207,30,0.0,0.0,0.0,36.0,3.933009834289551,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1998,24961,207,30,0.0,0.0,0.0,36.0,3.647807769775391,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1999,24961,207,30,0.0,0.0,0.0,38.0,3.4775811767578126,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,2000,24961,207,30,1.0,0.0,0.0,38.0,3.639163589477539,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1997,24962,207,30,1.0,0.0,0.0,33.0,3.933009834289551,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1998,24962,207,30,1.0,0.0,0.0,34.0,3.647807769775391,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1999,24962,207,30,1.0,0.0,0.0,34.0,3.4775811767578126,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,2000,24962,207,30,1.0,0.0,0.0,35.0,3.639163589477539,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1997,24963,207,30,0.0,0.0,0.0,35.0,3.933009834289551,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1998,24963,207,30,1.0,0.0,0.0,36.0,3.647807769775391,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1999,24963,207,30,1.0,0.0,0.0,37.0,3.4775811767578126,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,2000,24963,207,30,1.0,0.0,0.0,38.0,3.639163589477539,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1997,24964,207,30,1.0,1.0,0.0,46.0,3.933009834289551,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1998,24964,207,30,0.0,1.0,0.0,46.0,3.647807769775391,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1999,24964,207,30,1.0,1.0,0.0,49.0,3.4775811767578126,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,2000,24964,207,30,1.0,1.0,0.0,49.0,3.639163589477539,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1997,24965,207,30,1.0,1.0,0.0,62.0,3.933009834289551,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1998,24965,207,30,1.0,1.0,0.0,63.0,3.647807769775391,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1999,24965,207,30,1.0,1.0,0.0,64.0,3.4775811767578126,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,2000,24965,207,30,1.0,1.0,0.0,65.0,3.639163589477539,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1997,24966,207,30,0.0,0.0,0.0,38.0,3.933009834289551,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1998,24966,207,30,0.0,0.0,0.0,39.0,3.647807769775391,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1999,24966,207,30,0.0,0.0,0.0,40.0,3.4775811767578126,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,2000,24966,207,30,1.0,0.0,0.0,41.0,3.639163589477539,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1997,24967,207,30,1.0,0.0,0.0,50.0,3.933009834289551,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1998,24967,207,30,1.0,0.0,0.0,51.0,3.647807769775391,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1999,24967,207,30,0.0,0.0,0.0,52.0,3.4775811767578126,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,2000,24967,207,30,1.0,0.0,0.0,53.0,3.639163589477539,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1997,24968,207,30,1.0,1.0,0.0,44.0,3.933009834289551,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1998,24968,207,30,0.0,1.0,0.0,45.0,3.647807769775391,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1999,24968,207,30,0.0,1.0,0.0,46.0,3.4775811767578126,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,2000,24968,207,30,1.0,1.0,0.0,47.0,3.639163589477539,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1997,24969,207,30,0.0,0.0,0.0,36.0,3.933009834289551,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1998,24969,207,30,0.0,0.0,0.0,37.0,3.647807769775391,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1999,24969,207,30,0.0,0.0,0.0,39.0,3.4775811767578126,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,2000,24969,207,30,0.0,0.0,0.0,39.0,3.639163589477539,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1997,24970,207,30,1.0,3.0,0.0,72.0,3.933009834289551,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1998,24970,207,30,0.0,3.0,0.0,73.0,3.647807769775391,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1999,24970,207,30,1.0,3.0,0.0,75.0,3.4775811767578126,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1997,24971,207,30,1.0,1.0,0.0,51.0,3.933009834289551,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1998,24971,207,30,1.0,1.0,0.0,52.0,3.647807769775391,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1997,24972,207,30,0.0,1.0,0.0,26.0,3.933009834289551,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1998,24972,207,30,1.0,1.0,0.0,27.0,3.647807769775391,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1997,24973,207,30,1.0,2.0,1.0,55.0,3.933009834289551,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1998,24973,207,30,1.0,2.0,1.0,56.0,3.647807769775391,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1999,24973,207,30,1.0,2.0,1.0,57.0,3.4775811767578126,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,2000,24973,207,30,1.0,2.0,1.0,58.0,3.639163589477539,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
0,0,2005,1999,24974,207,30,1.0,1.0,0.0,23.0,3.4775811767578126,1222,2392,2366,0,30,21.34444,-98.26945,106.002556,0.8639299869537354,30,0.9891304347826086
