Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Dominica,DMA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,17420.2512475009
Dominican Republic,DOM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,23087.9343626862
Ecuador,ECU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,14472.3165053895
"Egypt, Arab Rep.",EGY,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,16691.1332373374
El Salvador,SLV,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,11404.3342262685
Equatorial Guinea,GNQ,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,15688.2384192658
Eritrea,ERI,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Estonia,EST,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,41668.8375702059
Eswatini,SWZ,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,10132.1872615949
Ethiopia,ETH,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,2755.45709577808
Faroe Islands,FRO,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,70373.3769321133
Fiji,FJI,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,13652.4908672464
Finland,FIN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,56454.8496937512
France,FRA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,53969.0375681581
French Polynesia,PYF,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Gabon,GAB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,18702.6905177984
"Gambia, The",GMB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,2932.28059517915
Georgia,GEO,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,22590.5293543813
