education
6.0
9.0
17.0
9.0
14.0
6.0
11.0
14.0
6.0
6.0
6.0
4.0
15.0
9.0
6.0
6.0
9.0
12.0
0.0
10.0
18.0
10.0
6.0
13.0
6.0
12.0
3.0
11.0
11.0
9.0
4.0
6.0
11.0
9.0
12.0
12.0
8.0
12.0
4.0
17.0
16.0
3.0
12.0
9.0
6.0
12.0
12.0
9.0
14.0
8.0
12.0
12.0
12.0
0.0
6.0
12.0
16.0
9.0
12.0
9.0
15.0
6.0
17.0
12.0
9.0
16.0
11.0
19.0
2.0
10.0
9.0
14.0
17.0
9.0
6.0
0.0
16.0
10.0
0.0
11.0
12.0
9.0
6.0
12.0
12.0
13.0
0.0
6.0
9.0
16.0
13.0
12.0
9.0
11.0
9.0
6.0
9.0
11.0
9.0
12.0
9.0
6.0
9.0
9.0
0.0
9.0
12.0
16.0
9.0
12.0
6.0
12.0
2.0
11.0
16.0
6.0
8.0
17.0
8.0
9.0
9.0
11.0
17.0
15.0
8.0
16.0
9.0
11.0
9.0
3.0
17.0
9.0
9.0
9.0
19.0
9.0
9.0
14.0
6.0
12.0
9.0
11.0
10.0
9.0
9.0
9.0
3.0
14.0
9.0
9.0
9.0
11.0
16.0
6.0
16.0
9.0
12.0
12.0
13.0
0.0
17.0
9.0
14.0
14.0
13.0
9.0
1.0
0.0
16.0
6.0
12.0
12.0
14.0
9.0
11.0
15.0
12.0
9.0
10.0
16.0
0.0
12.0
6.0
9.0
9.0
11.0
5.0
16.0
12.0
9.0
12.0
9.0
17.0
13.0
9.0
9.0
12.0
6.0
12.0
6.0
12.0
1.0
15.0
16.0
15.0
12.0
12.0
12.0
9.0
9.0
1.0
6.0
13.0
10.0
9.0
9.0
9.0
10.0
1.0
6.0
9.0
15.0
9.0
6.0
15.0
11.0
12.0
12.0
15.0
9.0
17.0
16.0
12.0
2.0
3.0
11.0
12.0
12.0
9.0
10.0
6.0
16.0
17.0
5.0
9.0
9.0
19.0
19.0
12.0
19.0
